Review;Product quality;Price;Service Quality;Delivery quality
"update: sadly this is the second boat product to conk off after few months of use. i guess this is the end of the journey for you and i boat audio, not buying any more products from your brand. changed the rating to reflect the same.i was in the market for a cheap pair of bluetooth earphones and i chanced upon this on a lightning deal and bought it. i have used boat products before, they have good build quality and their sound is alright. i’m writing this after a month or so, enough time to have lived with it and get to know quirks and other problems.• the sound is nothing great, it’s a bit on the bassy side. if you’re a bass lover, this is definitely a good buy.• connectivity is quick and painless – and it works without hassle every time. the quality of the connectivity depends and is sometimes weird. i can put the phone on charge and use it for a distance of about 3 meters, no worries. but sometimes when i’m walking really fast or jogging there are breaks and crackles in audio. not sure if it’s the material of my gym wear, but it works well when the phone’s in my jeans.• battery life is nothing to write home about – i listen to music constantly even when i’m at work. my demands are probably too high for this price range.• it is sweat-proof as advertised. no interruptions under a light drizzle.• it’s got great build quality for the price – looks and feels premium. doesn’t tangle at all.• it stays in your ear regardless of the intensity of the exercise which is great.on the whole a great buy if you are looking for a cheaper alternative. wait for a sale before you get it though.like my reviews? please do click the helpful button. it encourages me to share more about the products i use. thanks!
";Positive;Positive;-;-
"the headphones were good at the beginning but after a week getting disturbance on left side earpiece which stays for sometime
";Neutral;-;-;-
"the item has been rendered defective three times in less than two months of usage. the first two times was due to charging issue and the third time due to sound distortion. being under warranty, the item has been repaired the first two times and now i have registered a compliant for the third failure. the product has spent more time at the service centre than i have used it. am completely dissatisfied with the reliability of the product.
";-;-;-;-
"purchased it for 999. and the price does justifies its quality but for music purposes it does lags. bass is still justified for its price. basic functions dont work as desired like overriding the use of buttons. the startup and shutting down voice is very annoying. could have kept very subtle.and also battery drains out quickly. the microphone is the worst. the person at the other end wont be able to hear you clearly. the built quality is very cheap. dont expect it to be durable for long just keep it safe.also when i used it during running the audio started to interrupt regularly which was very very annoying. i had to abstain from using it during morning jog. after this experience am giving it only 2 stars.
";Neutral;-;-;-
"the reason for this being an average product is that the pros are excellent but the cons also work against it.pros:>good noise cancellation>excellent sound quality>range is not bad>good battery lifecons:>the soft earbuds have a very small hole in it, so when you wear a helmet over it and if there is a slight change in the angle of the earpiece you are unable to hear anything from that earpiece unless you correct the angle.>durability: the left earpiece of my headphones stopped working within 2 months of use. the company repaired it and gave it back, but the time taken for the same was long. also, the left earpiece projects lower sound than the right one.>it does not inform when the bluetooth gets disconnected after going out of range.>becomes useless after the battery reaches 20%. it keeps informing 'oops! battery low!' after every minute for the next 10 minutes and then switches off.
";Negative;-;-;Neutral
"got this for rs. 999. a great deal for the price.bought it socially for multipoint features.works great with 2 mobiles but i have found that it keeps running into connecting issues with a windows 10 laptop. it may take a while to connect back with a windows 10 laptop.battery is okay. can't take it off the whole day.don't expect noise cancellation. sound is great. you can enjoy bass. another little annoying thing apart from connecting with windows laptop is the crackling sound which i can hear sometime for no reason even in close proximity of the streaming device.
";Positive;-;-;-
"worst product
";Negative;-;-;-
"totally disappointed with the product and returned it. boat rockerz 225 is better than this.
";-;-;-;-
"i am pleased to write a review and i will talk both about pros and cons:pros:1. good bass2. sturdy3. great look4. good noise cancellationcons:1. forget buying this if you are planning to use it for gaming like battle royale games, there is an issue with the latency or bluetooth lag, you will hear the noise 3 seconds after you fire the gun.2. disspointed battery backup, max is 1 or 1.5. hours if you continously use it at low volume.3. wrong place where the charging port is installed, difficult to plugin or plug out.
";-;-;-;-
"i had brought the piece after reading lot of reviews etc. when i purchased and started using it turned off and said battery low .. thats fine as initial product charged battery full and started using it ..it started reconnecting most of time and sound started disappearing . i checking the range on the manual which said 10m and i saw when i placed my mobile in shirts pocket it was perfect and working and when i moved it to pants pocket it disconnected and reconnected . and it kept happening with 100% charge and was totally waste of time and value for this .tried many times and got to know its very small range one and doesnt come with proper range.
";Neutral;-;-;-
"very bad it's been only 3 months and it's one earphone is not working . one year warranty is useless no service centre service is there for help only waste of money .
";-;-;-;-
"sound quality is worst
";Negative;-;-;-
"got the delivery today(12/12/2018)initial impressions:the audio was really good..nice bass..comfortable fit.audio 4/5but after few hours of usage the right earphone stopped working..audio output through right earphone is not as loud as left earphone.
";Neutral;-;-;-
"hi, i bought this for 1500 from amazon but to tell you did not found out this worth 1500. bought this after seeing 4 star rating from amazon users but seriously not worth 4 stars.1. bass may be there but the sound is not powerfull and sharp. i tried to switch between plug in ear phone and boat wireless and found that the sound is not great although bass may be there.2. as some user has mentioned the mic is not good which i also feel3. if you arr looking for style then it doesn't look stylish. the earphone wires should come from behind not front as it looks odd.4. noise cancellation is good.5. ear comfort is ok.if i have to buy again i would rather by wireless earphone at 600 bucks from metro station amd may feel disappointed rather than spending 1500 buck and feeling disappointed.this product should be in the range of 600 to 800 maxstill if you need something desperately wireless and at some affordable cost then its ok.have heard from some colleagues that you may find some good wireless earphone from ali express
";Negative;-;-;-
"let me tell you about the product in details,1. sound quality is good. it is harmless for ears. not too loud but traffic noise can't disturb you while listening music.2. look is awesome but wires are too lengthy.3. battery backup 'was' awesome. six to seven hours after 1 or 1.30 hours chargingbut4. product is not charging after only two days of purchase. and it is not acceptable. that's why the rating is one (lesser than one is not available though)i will change my ratings and review too but after the replacement or refund against this product.and one more thing, do not put too deep to this thing in your ears, it might be painful after few minutes.regardssiddharth
";Positive;-;-;-
"product not working within 1 month from purchase
";-;-;-;-
"it was priced around 2.7k initially. but i definitely know it doesn't worth it. i got it in an offer for rs.1.1k. still it is not worth the price. i was just looking for some stuff, without having to plug in the 3.5mm jack to my mobile - and it serves that purpose. other than that, it is not for music lovers who wants to listen to music for long hours. in 30 minutes it starts hurting and i started to develop ear/headache if i continue to listen more than 1 hr. definitely not suitable for laptops - it keeps disconnecting frequently for no reason. recently it starts doing the same with my mobiles as well. battery is not great with daily 1 hours of hearing battery lasts max 3 days. the string is annoyingly long, it dangles upto your stomach. i have seen earphones with reasonable length, this one is awkwardly designed. you cannot wear them without getting attention from onlookers.if you are ready to spend another 1000 bucks go for good brands like jbl, senheiser etc. if you want to cut cost, well this is the best among the other worsts in the market
";Negative;-;-;-
"it is too bad..this ear phones could not completed even a month it has been only 20 days..and it's battery getting heated battery running time getting shorter by the time today it play only 1 hour ,next thing is it has been 5 days since it's one side earhone is not working..feeling cheated..
";-;-;-;Neutral
"the wire from the band to the ears is too long. previously, i was using skull candy (which i lost so went in for a cheaper option). skull candy wire length was perfect. in boats rockerz, because the wire is too long, it keeps bumping against my neck when i run. the sound of the wire hitting the neck echoes in the ear pieces. also, when i do floor exercises, the longish wire hangs uncomfortably around the neck. sound quality and battery life is decent for the price, though. so if you plan to buy it for casual listening, go ahead. wouldn't recommend for serious workouts.
";-;-;-;-
"i have bought this earphone once , replaced once and finally about to get refund after i returned it second time. thanks amazon and seller for initiating the refund. i am not a sound specialist but i am a good listener. my first lengthy review is below.pros:1. bass, really heavy bass.2. while listening to music, double press invokes the last phone call . on the go call. so when riding in bike it is useful to call my wife ;-)3. can use it when wearing a helmet.4. really good wires and sturdy. so life of the earphone is assured.5. neck design if u like it.6. easy to connect. range/connectivity is good even when there are many obstacles in between.cons:1. mic is at the end of the neck design i.e not closer to mouth. so the other person on the call can't hear properly. mic picks up so many noise as no mems in this.2. bass is not everything in music. too much of bass. even equalizer adjustments to reduce the bass does not help.3. battery life is mediocre when compared to others.i have bought mi basic bluetooth headset after returning this.pros: dynamic enjoyable bass even at higher volume, mic noiseless,cons: wire quality is poor. have to keep it carefully.cheers!!!
";Negative;-;-;Neutral
"bought this 4 months back.pros- good sound, nice battery back, very light on neck. good only for listening to musiccons - really bad for using it for its actual purpose. it has got no noise cancellation hence people will nt be able to hear you clearly.my advice avoid buying it as you can't return it
";Neutral;-;-;-
"pathetic quality
";Negative;-;-;-
"its not sweat proof that is clear it will malfunction when you run on treadmill wearing itsound is goodbattery is goodbut its not full sweatproofalso will stop working after one month
";-;-;-;-
"i buyed the product and it stopped working after 2 months.the after sale service of boat is very bad and pathetic .
";-;-;-;-
"i’ve been using this for past few months now.at first glance, the product seems good and because it does its purpose as wireless audio earphone.operation wise, there are few things that annoys me a lot.1. during charging there’s no led indicator. so sometimes if cable is loose or something you won’t know that it’s not charging.2. the on/off switch is not ux friendly. you can’t tell by touch if you’re pressing volume buttons or power button. all buttons are diamond shaped. extremely annoying when you’re in a hurry.3. the bluetooth pairing is not intuitive. you have to switch on phone bluetooth and then the earphone. if you switch on the earphone and then the phone bluetooth, the earphone won’t initiate pairing(i know it’s not the problem with iphone, because my previous bluetooth used to work this way) . this is very stupid. so you have to re-start the earphone.4. double press on volume buttons doesn’t perform next/previous function. other earphones are capable of this very basic function.5. occasional buzz or distortion. sometimes there is a buzzing distortion. on restart of the earphone it goes away.
";Neutral;-;-;-
"i have been using the headset for 2 months. the battery life is pathetic. it might huff and puff to 4-5 hrs before the annoying ""your battery is low"" notification starts piercing your ears. the noise cancellation is avergae and the mic is the biggest let down. when i use this for calls when i am in my room, my sound gets diffused in the sound my ceiling fan makes and the other party will be having lots of difficulty hearing us. and the ear pains a lot after half an hour of usage due to the ear-holder kind of thing provided on the buds. i won't recommend this to anyone. i read and watched a lot of reviews before buying this. most reviews were rating it pretty high. so i have learned one thing, do not go solely on these reviews when buying things from these kinds of manufacturers, those might be paid ones..!happy shopping!!
";Neutral;-;-;-
"cons:-these earphones does not tell remaining battery till it is very low. a button should be there to know battery life.-after battery gets low they don't last more then 6 mins or so. also voice assistant keeps shouting battery low. they become unusable.-more earbuds should be there. 3 sizes do not fit all.pros:- boat has best after sales support no other company comes close to them. repair and replacements are completely hassle free. ""this is why i purchased these"".-sound quality is good.-build quality is good.-water resistant-battery lasts sufficiently long .
";Neutral;-;-;-
"i don't usually write reviews for products but i must do for this one to let people know about the issues i am facing. i will try to cover all aspects of these earphones in this review.*reliability:*the earphones get disconnected after some time if you don't use it for like 3-4 hours. it's very frustrating since you have to start the earphones first before picking up the call. also, when you pick up the call you don't know whether to use phone or earphones to speak since you don't know whether they are connected. though a small issue, it's really frustrating, trust me.*experience:*the earphones are pretty useful and give all kinds of signals (if you have plugged it in your ear) like connected, disconnected, battery low. but what is most frustrating is the battery low signal which is not just a beep, but a long sentence it says ""oops, battery low"". this keeps on repeating every 30 seconds which really annoys me. if the battery is low, it should just beep if they have to. but every time bugging is not a good experience.also, it takes a bit too long to power on and power off. you have to press the button for like 5-7 seconds.*sound quality:*the first song i listened to these earphones sounded really terrible with high bass. but it's not really bad if you are not into too much sound details.*build quality:*build quality is really good. no issues with that.*battery life*satisfied with battery life. but it doesn't last that long as promised. but i am okay with that.
";Negative;-;-;-
"pros :1)product quality good,sound good .2)light weight3)battery time /playback time over all good4)connectivity averagecons:1)after 30 min yr ears feeling presure2)good connectivy when phone is in range3)some times i feel the lil slage in connectivity while silenting music.4) its not a product for daily bike commuters due to low noice cancellation.overall good product on bases of prices...
";Positive;-;-;-
"hello i bought this product in big sale going on , got it for 1099 which is good deal.later on it was for 2.5k don't buy at this price waste of money.sound n bass is awesomebattery not sure yetsongs can't be changed using music keys and music key functions are uncertainmusic starts playing from phone suddenly after the calldouble tapping of play/stop button dials last caller, which is greatest con of this product
";-;-;-;-
"good for a few weeks. after that the battery heated up drastically, and melted the rubber buttons. i luckily stopped charging in time, else may have even caught fire. now the buttons are fused and the product can't be used.hope amazon will promptly replace the defective product.
";Neutral;-;-;-
"would have used hardly for 5 to 8 hours since i got this product and it does not charge now. return window already crossed and a total loss for me. amazon stop selling such substandard products plz.
";-;-;-;-
"this is a good quality ear phones with durable wire. but the wire is very hard not so flexiable and big compared with other earphones. this doesn’t fit to a pocket for sure. it has a magnetic base which combines two sides when not in use. the major thing is that this ear phones once bought cannot be returned only replacement option is available in amazon which is quite disappointing
";Positive;-;-;-
"just purchase it with your eyes closed man. in 1500 bucks no-one will ever give you such a bass and good audio quality wireless bluetooth earphone. just don't think so much.i don't know about the lasting of the product but feeling the build it seems very premium. this is my first day usage review.===?====?===writing after 5 months of usingone of earbud stopped working without any reason today.pathetic product i must say now
";Neutral;-;-;-
"dont go for this product. i have seen the reviews and purchased it but to my surprise, the ear phones are very bad at producing the decent bass,instead the bass is too heavy that even a bass head like me does not find it good. too heavy to use it for longer times, u might end up hurting ur ears.
";-;-;-;-
"let me tell you that don't buy this. yes it's true that it's the best product you can get for the price (i doubt that) but definitely it's not the best product you should buy.problems faced:1. battery is pathetic. mostly gives 3 hours of playtime2. the earphones get disconnected if you even go to the next room3. sound is too low. i have to use 3rd party equalizer to listen clearly4. the bass is also not good. have to rely on the 3rd party appsthe only thing is boat has a very good warranty service but the problems with the device make it a garbage af
";Negative;-;Positive;-
"product received on time there is no issue. sharing my experience here for you to decide before you go for this product only.during calls suddenly it goes blank.there is no noise cancellation or its not working properly. always people on call ask me ""are you outside, we are getting so many noise""i have ordered replacement, after 15 days i received serviced item (may be before that someone used and returned to boat), same issue persist but now i don't know what to do... and i am not using this for important office calls. just using for hearing music & watching movies. replacement process is good, they only come and collect your product and return using courier, if you raise ticket online. problem rectified or not that's matter.overall my suggestion / experience i could say ""don't go for this product if you really want to use it for official purpose""
";Neutral;-;-;-
"got these in sale and very disappointed. i had earlier jbl wireless headphones and they were of very good quality then i lost them. saw ad of these wireless headphones in newspaper and decided to buy as i already use boat 400 which are awesome but i got disappointed with these, i have to speak very loudly in order for my voice to reach the other party (which looks very weird in public) and i feel that quality is also not upto the mark. amazon i feel knew about this and thats why these were on sale and non returnable.i am now stuck with them and i do not recommend that you buy these at all.thanks.
";Neutral;-;-;-
"just one month nd gone. product sucks. please don't buy. not finding at service centres as well.
";-;-;-;-
"it's been a month, i'm using these earphones.the product is good, still i would say for this price it could have been better.it's solid & has very good sound quality.easy to carry & smart looking but it sometimes takes a lot of time to connect with my phone & the part of it which holds it into the ear got loose already & it got out of ear a few times.. on the charging point of view it work pretty well.. 30 mnts charging is enough more than 3-4 hours continues use. all & all it's good but a lil expensive.
";Positive;-;-;-
"i brought this one, after using boat nirvanaa uno. uno had good quality stereo with nice bass. this is sounds like a mono headset. i think bass is too much or not set correctly. it sounds differently on mobile and pc. i am not satisfied with the sound output. it connects to both pc and mobile same time, so attending mobile call and skype call with no hassle. for rs. 1990 there are better quality available. i trusted boat based on my previous purchase with uno.
";Neutral;Neutral;-;Neutral
"my ear is goes out of order ,i am placing on line complaint but does not go through,pls replace it or suggest me what to do . this time i am in pune(maharashtra) and my contact mobile no is 9811917164,will give all star rating only after getting feed back from the co.
";-;-;-;-
"at rs.1499, there are few areas that boat delivers and largely others where it doesn't. noise cancellation and bass are it's highlights while you might have to compromise with the poor build quality, sub-par sound clarity and battery life.with 1 week's experience and daily usage i have come to find:1. the battery doesn't support more than 3-4 hours of playtime, even at 70% volume.2. great bass which might sometimes overshadow the mid and high tones.3. one of the earbuds has stopped working for which i have ordered a replacement and will post an update on the same.@amazon/appario: excellent all-round experience from order placement to delivery to replacement initiation.
";Negative;-;-;-
"for the first month it was good. but from the starting i was having blue tooth connectivity issue. it was not even having good connection within 5metres. then within 30 days due to sweating it completely stopped working. i am still searching for the right wireless ear phone which can be used for long run, marathon and resist sweating.very poor customer care service. i returned the product and have to wait for 3 week for dispatching a new one. still on 4th week no shipment done.
";Positive;-;Negative;-
"everything is very good about this product. great sound, i love it. however, if i i hadn't lost those ear plugs and their hooks that help u stick them in ur ear i would have given it a 5 star. they gave extra ear plugs but not those hooks that hold on to the crevices of ur ear to help u enjoy the bass. i can't find them separately on amazon either. it would be great if boat could include those in the package.
";Positive;-;-;-
"sound quality isn't that good. not worth the cost. durability, well it comes with a plastic construction, that you need to wear around neck. so can't fit it in anything.feeling bad buying this product considering the image doesn't clarify the plastic ring around the neck. oh yes one more thing ear piece has rubber hook on it but design is so bad that you can't get it in ears properly.
";Negative;-;-;-
"everything is good, sound quality is awesome, look wise also decent but.....but battery life is bad, if you consider it for using a whole day battery may end up just before your day ends. backup of 6-7 hours is not enough for a whole day use. if you want something with good battery life jabra elite 25e is what you are looking for but something with good sound quality this is what you are looking for but if you want both this thing in one, then sorry there is no such thing available i have searched and watched each and every earphones review but this technology seems to be failing you can even see that very few wireless mouse and keyboard have good ratings.
";Positive;-;-;-
"sound quality is good for music only... battery : working only for 2:00-2:30 hours maxmic: very bad everyone complaining that your voice is not coming proper.when you're doing video calling voice is not in sync..its come bit letter 1-2 seconds..and same thing happen when you sre playing game..pubg???? . i am returning this.product is not as per expectations...
";Positive;-;-;-
"product stopped working in just 20 days useless even the 10 day return policy is over now no refund & waste of my hard earned money
";-;-;-;-
"i've been using it on runs for the last month and haven't had any issues. lately however, the earphones have stopped charging, the led doesn't work and the earphones heat up substantially when i try to charge it.i have tried to register the product and a complaint on the vendor's website but always receive an error. i've tried calling them but the always receive a 'network busy' error. i have emailed them and awaiting a reply.overall a really good product but if one can't get the product to work during the warranty period, there's no point in buying it.
";Positive;-;-;-
"it's been 5 days only that i have bought this product....cons:-10m bluetooth connectivity is a myth, it only supports upto 3-5 m.-wires are not quite durable or thick.-bass is lower than average.-not durable for long run-ears starts to pain after a use of 30min.pros:-gets charged quickly.-light weight-gets connected quickly,no problem in connection.so, for me this product is lower than average.now it's up to you,so think twice before buying thus product.
";Negative;-;-;-
"w/l earphone in 1-1.5k price range. handle carefully for 1st 1 week to understand different feature capability. had many -ve reviews on amazon but i still opted for it. incidentally all is well till now after 1 month use. little problem in call/audio management but that's not a major issue. same feature of jbl is on higher price rande (4k) so not bad this one.
";-;-;-;-
"i also own a bose premium headphones which i think i cannot wear everyday to gym, so i bought this product for my day to day workouts. comparing it with bose, sound is not that crisp but for a bluetooth earphone under 2k it worth it. i really like the beats and sound is pretty awesome too.full marks for that, but i find it pretty annoying while working out in gym. there is a u shaped clip at the end of which two wires are attached which connects to earphones. the sturdy clip has to hang round your neck all the time. if you are running, the clip might start rotating and that would slowly force one of the earbud come of your ear. pretty annoying...believe me, you have to turn the clip time and again to hang it around your neck in correct position. also, while doing ab crunches it will keep on falling back and take both the earbuds along with it.i was mislead with the pictures, i thought it is all wire and no clip but its not. just wanted to point this out so you dont make the same mistake ;)but if you are not into too much workout and want it for travel, then connection range and awesome beats is great deal.cheers.
";Neutral;-;-;-
"i read many good and bad reviews for this product and i brought it now i will review it honestly for who all are reading this review1.my product box is fully damage and reworked the box it's like some one used it but the product is fine.2.the sound clarity is good only for music with extraordinary bass in it but not for movie and youtube videos.3.noise cancellation is not good at all it's waste i still here background noise4.not a great fit for workout session because due to sweat it's run out of ear and the magnetic lock is not locking perfectly when we unplugged in ear5.its has a good battery life like there said solidly 5:30-6 hrs and it's charge time is 1:30hrsthat's it everything i about this earphones.
";-;-;-;-
"i bought this product after a long wait for drop in price for 1500 finally but just after few days of buying it for 1500, the price further dropped to 999! really unhappy about having to spend 500 extra! quality wise they're good but not exceptional. also the eartips hooks are smaller than other branded earphones so not interchangeable with other earphones! i find it very inconvenient because my sennheiser earphones have much better quality tips which i cannot fit on these as they fit lose.
";-;-;-;-
"looks bad,not stylishvery uncomfortable,sound also not goodi don’t know about other products at this pricebetter don’t bye this productno need to go for other reviews if u saw my reviewi can’t return this item because there is only replace option
";-;-;-;-
"product is average.. ear buds clip sizes differ, so not holding on firmly.. slips during vigorous workouts.. sound quality very good and decent. but batty life very disappointing. disconnects very often after 1 hour.so not a value for money
";Neutral;-;-;-
"its got good bass. but it range for treble or mid range is lacking.if you are audiophile.. you will notice it's lacking. just one day into use.did some tests... yes, it lacks in higher frequencies.however with equalizer it helps a bit.built wise good.. and will last long
";-;-;-;-
"i bought one recently and below was my experience :1) the wireless range is very low.2) battery life isn't good either.3) boat is known for it's bass, but this one's bass was terribly unpleasant.final verdict : don't buy it. better go for mi sports basic headsets that 's much better and has a balanced sound. or if you have a good budget, go with the jays t-four or rha, they are just wow!!
";Neutral;-;-;-
"i had bought the earphones about 20 days back. they were working absolutely fine. they fit perfectly and sound great.but after 20 days of working they stopped working. they wont switch on. i tried charging with powerbanks, pc, chargers (i was very careful of not exceeding the amperage for charging and i didnt exceed the limit). now to claim warranty i have to send this to the company which will take at least 10-15 days. this is very unfortunate and i am seriously questioning the legitimacy of this brand.
";-;-;-;-
"does the work for portable music listening. needs a quiet place for the mic to work, it isnt great and i never use it for calls. base is quite high and pains your ear after and hour of listening. if you get this around 1000 bucks, take it for a portable experience otherwise invest on a good wired in-ear sennheiser which u get below 1500 and gives the best audio output
";-;-;-;-
"i have been using this headset for 4 months, here is my review:sound quality - excellentnoice cancelation - goodcomfortable - ear bud not comfortable as it creates pain in ear.connectivity - bad (beginning it was ok but in long usage am facing too much of connectivity problems.battery backup: good.bluetooth distance: for short distance it is good like around 7-8 metersoverall comment: need to improve in connectivity issues and ear bud model. ear bud can be adjustable but disconnect problem has to be focused.
";-;-;-;-
"still struggling to get through the customer care of boat! which is virtually non existent. whenever i get to talk to their customer support all they do is promise that they are working on it and never get back. i would recommend to go for products which has a decent after sales service. boat is proving to be the typical use and throw china product!
";-;-;-;-
"the pity is that everything about these earphones are great, starting from the sound quality, the technology/user-friendliness, and even the instructions. but i don't know which genius came up with the earbud designs. they hurt a lot! unless you insert them deep in your ears you won't really be able to get them to stay on. inevitably after about 15 minutes of usage, your ears will ache. therefore even though its a perfectly fine product in all other ways, its not very usable. a great pity.
";Positive;-;-;-
"overall: decent product, not worth the cost.issues below are experience over 1 week of using the product on iphone 6.pros: sturdy material, flexible behind the neck strap and wire quality durable and tangle free. good battery life.cons: the device does not have good bluetooth connectivity. if your phone is more that one foot away from you, the sound gets cut off very often. for example, if you have your phone in your handbag/backpack/pocket, you can expect multiple cut offs, especially while moving (walking, using a scooter/motorcycle). if you move further away you need to be in direct sight of the phone for continuous music (if you turn your back to the phone or if there is any obstruction (not even a wall, a bathroom stall door is all it takes) the music gets cut off. not sure if it is just my piece but this is very frustrating.the ear pieces have magnets so that it connects around your neck when not in use, however this makes each ear piece heavier, as a result if you are using smaller in-ear buds, they tend to fall out due to the weight of the ear piece. this becomes a hassle while working out, particularly jogging/running.
";Neutral;-;-;-
"issues.cinnectivity.---------------the bluetooth connectivity is not at all good. just breaks some times. not at all recommended for gym workout( atleast not for cardio.) stopped working many times when i had a good amount of sweat.sound.i am a bass lover and always a budget guy. till now used different kinds of in ear earphones. senhizer cx 180.. jbl . panasonic, boat, etc.. all in same range approx. but i still prefer senihizer cx 180 over boat 225. boat just has too much of base the voice mainly feels submerged. i had to turn off all the equalizers ( music app and mobile ) so that i could get a better voice..however it feels too bass. atleast not while listening to music but it feels while watch a movie speciallly hollywood.disappointed a bit.. satisfiesld a bit.. but majorly disappointed
";-;-;-;-
"terrible sound quality. i don't have much idea about songs from the edm, pop genre but if you are one who's into rock/metal or the likes then stay as far away from this as possible. the sound clarity is terribly. lows can be lived with, the mids would make you hate your decision to buy, the highs would make you kill yourself. noise cancellation is satisfactory but nothing beyond that. charging never seemed a hassle to me and lasts a decent amount of time on battery. build quality is good however it's only been a week. in terms of comfort, never really had any issues despite running it for a continuous 2-3 hours once. buds are soft and fit in snugly. bluetooth connectivity is strong, however there are times when the connection stutters.and yes, it cannot be refunded,only replaced. so purchase wisely.
";Neutral;-;-;-
"didnt fit my expectations,sound quality is good but battery backup is pathetic never lasted more than half an hour on 100 % charge,moreover the range too isnt good.doesnt work for running as the fitting isnt great .packaging too was pathetic it had dust inside the package.stopped working within two weeks,wareanty isnt smooth too,jun 14 se complaint daali hai no response.wasted my money
";Positive;-;-;-
"i like the product but some how when i open the parcel its box seal is broken. may be some one return the package and they gave me that broken seal package that i dont like, thats is why i am giving 3 star otherwise product is good.
";Positive;-;-;Negative
"please don't buy this product. only after using for 1 month earphones had stopped working and got it replaced within 15 days time. now again i'm facing same issue with the replaced one.had bought this earphones for jogging especially for jogging purpose however the keys don't work and i'm not sure of these are even sweat proof. purchased in the month of march'19 now facing a lot of issues as to charging, battery life, bluetooth connectivity, ear placement.
";-;-;-;-
